sequence_name,training,action
Apartment_release_work_skeleton_seq132,0,work
Apartment_release_work_skeleton_seq138,0,work
Apartment_release_meal_skeleton_seq132,0,meal
Apartment_release_decoration_skeleton_seq133,0,decoration
Apartment_release_decoration_skeleton_seq139,0,decoration
Apartment_release_decoration_skeleton_seq134,0,decoration
Apartment_release_work_skeleton_seq107,0,work
Apartment_release_meal_skeleton_seq135,0,meal
Apartment_release_work_skeleton_seq135,0,work
Apartment_release_meal_skeleton_seq131,0,meal
Apartment_release_work_skeleton_seq131,1,work
Apartment_release_work_skeleton_seq109,1,work
Apartment_release_work_skeleton_seq110,1,work
Apartment_release_decoration_skeleton_seq140,1,decoration
Apartment_release_decoration_skeleton_seq137,1,decoration
Apartment_release_work_skeleton_seq136,1,work
Apartment_release_meal_skeleton_seq136,1,meal
Apartment_release_work_skeleton_seq106,1,work
Apartment_release_meal_skeleton_seq134,1,meal
Apartment_release_work_skeleton_seq134,1,work
Apartment_release_decoration_skeleton_seq135,1,decoration
Apartment_release_decoration_skeleton_seq138,1,decoration
Apartment_release_decoration_skeleton_seq132,1,decoration
Apartment_release_work_skeleton_seq139,1,work
Apartment_release_work_skeleton_seq133,1,work
Apartment_release_meal_skeleton_seq139,1,meal
Apartment_release_meal_skeleton_seq133,1,meal
Apartment_release_work_skeleton_seq140,1,work
Apartment_release_work_skeleton_seq137,1,work
Apartment_release_meal_skeleton_seq140,1,meal
Apartment_release_meal_skeleton_seq137,1,meal
Apartment_release_decoration_skeleton_seq136,1,decoration
Apartment_release_decoration_skeleton_seq131,1,decoration
Apartment_release_work_skeleton_seq108,1,work
